PING 10.0.0.8 (10.0.0.8) 56(84) bytes of data.
64 bytes from 10.0.0.8: icmp_seq=1 ttl=64 time=1.03 ms
64 bytes from 10.0.0.8: icmp_seq=2 ttl=64 time=1.05 ms
64 bytes from 10.0.0.8: icmp_seq=3 ttl=64 time=1.06 ms
64 bytes from 10.0.0.8: icmp_seq=4 ttl=64 time=1.10 ms
64 bytes from 10.0.0.8: icmp_seq=5 ttl=64 time=1.00 ms
64 bytes from 10.0.0.8: icmp_seq=6 ttl=64 time=0.959 ms
64 bytes from 10.0.0.8: icmp_seq=7 ttl=64 time=0.861 ms
64 bytes from 10.0.0.8: icmp_seq=8 ttl=64 time=1.08 ms
64 bytes from 10.0.0.8: icmp_seq=9 ttl=64 time=1.04 ms
64 bytes from 10.0.0.8: icmp_seq=10 ttl=64 time=0.990 ms
64 bytes from 10.0.0.8: icmp_seq=11 ttl=64 time=0.950 ms
64 bytes from 10.0.0.8: icmp_seq=12 ttl=64 time=0.956 ms
64 bytes from 10.0.0.8: icmp_seq=13 ttl=64 time=1.10 ms
64 bytes from 10.0.0.8: icmp_seq=14 ttl=64 time=1.10 ms
64 bytes from 10.0.0.8: icmp_seq=15 ttl=64 time=1.01 ms
64 bytes from 10.0.0.8: icmp_seq=16 ttl=64 time=5.42 ms
64 bytes from 10.0.0.8: icmp_seq=17 ttl=64 time=0.938 ms
64 bytes from 10.0.0.8: icmp_seq=18 ttl=64 time=1.54 ms
64 bytes from 10.0.0.8: icmp_seq=19 ttl=64 time=0.988 ms
64 bytes from 10.0.0.8: icmp_seq=20 ttl=64 time=1.01 ms
64 bytes from 10.0.0.8: icmp_seq=21 ttl=64 time=0.896 ms
64 bytes from 10.0.0.8: icmp_seq=22 ttl=64 time=1.03 ms
64 bytes from 10.0.0.8: icmp_seq=23 ttl=64 time=1.00 ms
64 bytes from 10.0.0.8: icmp_seq=24 ttl=64 time=1.00 ms
64 bytes from 10.0.0.8: icmp_seq=25 ttl=64 time=0.962 ms
64 bytes from 10.0.0.8: icmp_seq=26 ttl=64 time=1.59 ms
64 bytes from 10.0.0.8: icmp_seq=27 ttl=64 time=1.05 ms
64 bytes from 10.0.0.8: icmp_seq=28 ttl=64 time=0.854 ms
64 bytes from 10.0.0.8: icmp_seq=29 ttl=64 time=0.922 ms
64 bytes from 10.0.0.8: icmp_seq=30 ttl=64 time=0.848 ms
64 bytes from 10.0.0.8: icmp_seq=31 ttl=64 time=0.947 ms
64 bytes from 10.0.0.8: icmp_seq=32 ttl=64 time=1.21 ms
64 bytes from 10.0.0.8: icmp_seq=33 ttl=64 time=1.03 ms
64 bytes from 10.0.0.8: icmp_seq=34 ttl=64 time=1.07 ms
64 bytes from 10.0.0.8: icmp_seq=35 ttl=64 time=1.03 ms
64 bytes from 10.0.0.8: icmp_seq=36 ttl=64 time=0.988 ms
64 bytes from 10.0.0.8: icmp_seq=37 ttl=64 time=0.811 ms
64 bytes from 10.0.0.8: icmp_seq=38 ttl=64 time=1.08 ms
64 bytes from 10.0.0.8: icmp_seq=39 ttl=64 time=1.03 ms
64 bytes from 10.0.0.8: icmp_seq=40 ttl=64 time=0.980 ms
64 bytes from 10.0.0.8: icmp_seq=41 ttl=64 time=1.03 ms
64 bytes from 10.0.0.8: icmp_seq=42 ttl=64 time=1.00 ms
64 bytes from 10.0.0.8: icmp_seq=43 ttl=64 time=1.03 ms
64 bytes from 10.0.0.8: icmp_seq=44 ttl=64 time=0.939 ms
64 bytes from 10.0.0.8: icmp_seq=45 ttl=64 time=1.56 ms
64 bytes from 10.0.0.8: icmp_seq=46 ttl=64 time=1.00 ms
64 bytes from 10.0.0.8: icmp_seq=47 ttl=64 time=3.28 ms
64 bytes from 10.0.0.8: icmp_seq=48 ttl=64 time=1.01 ms
64 bytes from 10.0.0.8: icmp_seq=49 ttl=64 time=1.07 ms
64 bytes from 10.0.0.8: icmp_seq=50 ttl=64 time=1.53 ms

--- 10.0.0.8 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 9845ms
rtt min/avg/max/mdev = 0.811/1.182/5.421/0.701 ms
